Name;Birthdate;Country
Ludmila Savinkova;01.01.1936;Ukraine
Oxana Skaldina;24.10.1972;Ukraine
Ekaterina Serebrianskaya;25.10.1977;Ukraine
Olexandra Timoshenko;18.02.1972;Ukraine
Olena Vitrichenko;25.11.1976;Ukraine
Ganna Rizatdinova;16.07.1993;Ukraine
Eleonora Romanova;17.08.1998;Ukraine
Tamara Yerofeeva;04.03.1982;Ukraine
Laura Halford;25.02.1996;United Kingdom
Francesca Jones;09.11.1990;United Kingdom
Stephani Sherlock;02.09.1996;United Kingdom
Jasmine Kerber;12.04.1996;United States
Mary Sanders;26.08.1985;United States
Laura Zeng;14.10.1999;United States
Julie Zetlin;30.06.1990;United States
Valeriya Davidova;15.12.1997;Uzbekistan
Elizaveta Nazarenkova;17.08.1995;Uzbekistan
Anastasiya Serdyukova;29.05.1997;Uzbekistan
Djamila Rakhmatova;19.09.1990;Uzbekistan
Ulyana Trofimova;28.02.1990;Uzbekistan
Milena Reljin;25.05.1967;Yugoslavia
Karen Cockburn;02.10.1980;Canada
Rosie MacLennan;28.08.1989;Canada
He Wenna;19.01.1989;China
Huang Shanshan;18.01.1986;China
Li Dan;19.09.1988;China
Anna Dogonadze;15.02.1973;Germany
Irina Karavayeva;18.05.1975;Russia
Dong Dong;13.04.1989;China
Lu Chunlong;08.04.1989;China
Henrik Stehlik;29.12.1980;Germany
Alexander Moskalenko;04.11.1969;Russia
Dmitry Ushakov;15.08.1988;Russia
Yuri Nikitin;15.07.1978;Ukraine
